number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,Helicopter,Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocks and Minerals,Water Quality
21,Fountain Valley High School,,,Fountain Valley,CA,,35,1098,46,28,89,89,8,50,53,25,39,40,89,57,37,10,89,89,36,21,46,89,34,34
11,Bridgeland High School,Red,,Cypress,TX,,36,1113,4,33,89,11,89,44,26,12,25,58,89,12,89,71,89,89,28,55,37,89,31,43
18,Eastlake High School,Crimson,,Sammamish,WA,,37,1114,54,59,89,89,66,41,17,42,42,39,89,24,48,4,12,89,35,63,20,89,42,61
81,The Frazer School,Big Blind,,Gainesville,FL,,38,1137,39,41,89,89,64,7,45,13,18,10,89,47,43,11,89,89,5,64,89,89,18,89
22,Fulton Science Academy,1,,Alpharetta,GA,,39,1186,62,40,89,89,29,22,49,33,65,42,89,17,33,60,89,89,20,43,24,89,60,53
64,Northern Academy of the Arts,Sun,,Middletown,NY,,40,1192,72,43,89,89,62,39,40,65,58,28,89,36,48,35,8,89,55,32,51,89,29,46
63,Northern Academy of the Arts,Moon,,Middletown,NY,,41,1194,45,50,89,89,10,89,38,48,61,21,89,52,89,18,89,89,25,53,8,89,30,23
14,Division Avenue High School,,,Levittown,NY,,42,1201,51,39,89,89,60,62,48,59,32,55,89,28,23,57,89,89,50,56,2,89,7,38
55,Monta Vista High School,Green,,Cupertino,CA,,43,1204,1,2,89,89,89,21,89,29,14,89,89,89,48,89,6,89,52,12,89,89,4,36
44,Lambert High School,,,Suwanee,GA,,44,1208,64,47,89,89,46,5,46,52,38,19,89,51,48,27,89,89,30,44,31,89,89,37
23,Fulton Science Academy,2,,Alpharetta,GA,,45,1218,60,17,89,89,89,6,15,47,63,38,89,58,32,65,89,89,23,23,3,89,56,89
27,Iolani School,Falafel,,Honolulu,HI,,46,1223,89,8,89,89,13,13,51,10,89,36,89,89,14,59,89,89,40,22,43,89,24,89
48,Lincoln Science Focus Program High School,Dapper Dandies,,Lincoln,NE,,47,1223,29,46,89,89,36,57,39,24,46,40,89,41,48,46,89,89,62,27,22,89,61,65
